uga;code_cip_id;pharmacies_name;appellation_titulaire;owner_last_name;owner_first_name;commune;postal_code
01BOU;2267205;PHARMACY NUM1;Mme;Georgio;Maryon;BOURG EN BRESSE;1000
01BOU;2257464;PHARMACY NUM2;Mme;Mitch;Ron;BOURG EN BRESSE;1000
01BOU;2243163;PHARMACY NUM3;M;Eberhard;Fred;BOURG EN BRESSE;1000
01BOU;2055070;PHARMACY NUM4;Mme;Germanus;Teikimoeatua;BOURG EN BRESSE;1000
01BOU;2055086;PHARMACY NUM5;Mme;Cassius;Malory;BOURG EN BRESSE;1000
01BOU;2055091;PHARMACY NUM6;Mme;Malaury;Gilia;BOURG EN BRESSE;1000
01BOU;2055112;PHARMACY NUM7;Mme;Terry;Bryan;BOURG EN BRESSE;1000
01BOU;2055149;PHARMACY NUM8;Mme;Mel;Giles;BOURG EN BRESSE;1000
01BOU;2055175;PHARMACY NUM9;Mme;Cédric;Bidane;BOURG EN BRESSE;1000
01BOU;2003379;PHARMACY NUM10;Mme;Mélodi;Bonnie;BOURG EN BRESSE;1000
01BOU;2004604;PHARMACY NUM11;M;Boualem;Thanh;BOURG EN BRESSE;1000
01BOU;2000435;PHARMACY NUM12;M;Berty;Rodney;BOURG EN BRESSE;1000
01BOU;2000461;PHARMACY NUM13;M;Brigal;Rainier;BOURG EN BRESSE;1000
01BOU;2000016;PHARMACY NUM14;Mme;Maryse;Redwan;BOURG EN BRESSE;1000
01BOU;2002855;PHARMACY NUM15;M;Ada;Brina;ST DENIS LES BOURG;1000
01BOU;2000257;PHARMACY NUM16;Mme;Guerino;Guillian;ST DENIS LES BOURG;1000
69VFS;2055505;PHARMACY NUM17;Mme;Magnus;Monie;MONTMERLE SUR SAONE;1090
01NAN;2054941;PHARMACY NUM18;M;Basil;Maryvonne;BELLIGNAT;1100
01NAN;2000084;PHARMACY NUM19;M;Bobby;Adamo;OYONNAX;1100
01NAN;2000215;PHARMACY NUM20;Mme;Marlone;Minerve;OYONNAX;1100
01NAN;2055573;PHARMACY NUM21;Mme;Maève;Adrial;OYONNAX;1100
01NAN;2055589;PHARMACY NUM22;Mme;Bixenta;Bérénice;OYONNAX;1100
01NAN;2055615;PHARMACY NUM23;M;Gontram;Maïwenn;OYONNAX;1100
01NAN;2282710;PHARMACY NUM24;M;Mélène;Cléo;OYONNAX;1100
01GEX;2005357;PHARMACY NUM25;Mme;Christopher;Bess;ARBENT;1100
01GEX;2055636;PHARMACY NUM26;Mme;Téodoric;Radouane;OYONNAX;1100
01GEX;2055641;PHARMACY NUM27;M;Chiheb;Tomislav;OYONNAX;1100
01GEX;2263200;PHARMACY NUM28;Mme;Géralda;Gina;OYONNAX;1100
01BEL;2004130;PHARMACY NUM29;M;Toussaint;Minh;HAUTEVILLE LOMPNES;1110
01BEL;2055332;PHARMACY NUM30;M;Glacen;Bronislaw;HAUTEVILLE LOMPNES;1110
01BEL;2055348;PHARMACY NUM31;Mme;Marissa;Morad;HAUTEVILLE LOMPNES;1110
01MIR;2003000;PHARMACY NUM32;Mme;Téobald;Gaetano;DAGNEUX;1120
01MIR;2003578;PHARMACY NUM33;Mme;Cristiano;Miles;LA BOISSE;1120
01MIR;2258761;PHARMACY NUM34;Mme;Romain;Abygaël;MONTLUEL;1120
01MIR;2055484;PHARMACY NUM35;M;Bertram;Bruno;MONTLUEL;1120
01NAN;2055547;PHARMACY NUM36;M;Mérédith;Cesario;NANTUA;1130
01TRE;2055788;PHARMACY NUM37;Mme;Brandy;René;ST DIDIER SUR CHALARONNE;1140
01TRE;2004517;PHARMACY NUM38;M;Majoric;Milagros;THOISSEY;1140
01BEL;2055395;PHARMACY NUM39;Mme;Mélard;Mayliss;LAGNIEU;1150
01BEL;2055400;PHARMACY NUM40;M;Rabie;Beatriz;LAGNIEU;1150
01BEL;2272084;PHARMACY NUM41;M;Rox;Abygaëlle;LAGNIEU;1150
01BEL;2000058;PHARMACY NUM42;Mme;Cyran;Gregoria;SAULT BRENAZ;1150
01TRE;2055746;PHARMACY NUM43;Mme;Graziella;Medardus;PRIAY;1160
01NAN;2265737;PHARMACY NUM44;Mme;Gwenvael;Marianna;PONT D AIN;1160
01GEX;2056116;PHARMACY NUM45;M;Magdalena;Adaïa;CESSY;1170
01GEX;2055311;PHARMACY NUM46;Mme;Maxandre;Bernardin;GEX;1170
01GEX;2055327;PHARMACY NUM47;M;Brieux;Mikayil;GEX;1170
01GEX;2056074;PHARMACY NUM48;M;Theodor;Marick;GEX;1170
01GEX;2000063;PHARMACY NUM49;Mme;Brandy;Ghizlane;SEGNY;1170
71MAC;2055683;PHARMACY NUM50;M;Gen;Théry;PONT DE VAUX;1190
71MAC;2055704;PHARMACY NUM51;M;Odilo;Minas;PONT DE VAUX;1190
01GEX;2001764;PHARMACY NUM52;Mme;Bleunienn;Mike;BELLEGARDE SUR VALSERINE;1200
01GEX;2000367;PHARMACY NUM53;Mme;Mirabelle;Berteline;BELLEGARDE SUR VALSERINE;1200
01GEX;2014204;PHARMACY NUM54;M;Thierry;Maudet;BELLEGARDE SUR VALSERINE;1200
01GEX;2269747;PHARMACY NUM55;M;Teobaldo;Maena;BELLEGARDE SUR VALSERINE;1200
01GEX;2278505;PHARMACY NUM56;Mme;Manouk;Brita;BELLEGARDE SUR VALSERINE;1200
01GEX;2005616;PHARMACY NUM57;Mme;Abygaël;Brita;CHATILLON EN MICHAILLE;1200
01GEX;2055290;PHARMACY NUM58;M;Magdalen;Mikaela;FERNEY VOLTAIRE;1210
01GEX;2055306;PHARMACY NUM59;Mme;Freddy;Marouan;FERNEY VOLTAIRE;1210
01GEX;2056095;PHARMACY NUM60;M;Bernice;Gusto;FERNEY VOLTAIRE;1210
01GEX;2056069;PHARMACY NUM61;Mme;Adene;Timothée;ORNEX;1210
01GEX;2000021;PHARMACY NUM62;M;Offy;Maxens;VERSONNEX;1210
01GEX;2000330;PHARMACY NUM63;Mme;Conogan;Absalon;DIVONNE LES BAINS;1220
01GEX;2055243;PHARMACY NUM64;Mme;Béryl;Tade;DIVONNE LES BAINS;1220
01BEL;2055861;PHARMACY NUM65;M;Giacobo;Maybelle;ST RAMBERT EN BUGEY;1230
01BEL;2055898;PHARMACY NUM66;Mme;Marusca;Corenthin;TENAY;1230
01TRE;2055856;PHARMACY NUM67;Mme;Melville;Consuelo;ST PAUL DE VARAX;1240
01BOU;2056032;PHARMACY NUM68;M;Magar;Marceau;LENT;1240
01BOU;2055180;PHARMACY NUM69;M;Madonna;Theodor;CEYZERIAT;1250
01BOU;2000238;PHARMACY NUM70;Mme;Raghid;Obert;TOSSIAT;1250
01BOU;2055987;PHARMACY NUM71;Mme;Gascalon;Télémaque;VILLEREVERSURE;1250
01BEL;2055196;PHARMACY NUM72;M;Malaïka;Maëlan;CHAMPAGNE EN VALROMEY;1260
39LON;2000079;PHARMACY NUM73;Mme;Cameron;Gilia;COLIGNY;1270
01GEX;2055730;PHARMACY NUM74;Mme;Morwenna;Rachel;PREVESSIN MOENS;1280
01GEX;2252340;PHARMACY NUM75;Mme;Modeste;Maxa;PREVESSIN MOENS;1280
71MAC;2000241;PHARMACY NUM76;M;Matthys;Meriadec;GRIEGES;1290
71MAC;2055725;PHARMACY NUM77;Mme;Gérard;Gysèle;PONT DE VEYLE;1290
01BEL;2055002;PHARMACY NUM78;M;Théodoret;Romanos;BELLEY;1300
01BEL;2055018;PHARMACY NUM79;M;Milia;Brandana;BELLEY;1300
01BEL;2055023;PHARMACY NUM80;M;Galvane;Melville;BELLEY;1300
01BEL;2055039;PHARMACY NUM81;M;Fleury;Rabie;BELLEY;1300
01BOU;2761422;PHARMACY NUM82;Mme;Makana;Betelu;BUELLAS;1310
01BOU;2000110;PHARMACY NUM83;Mme;Beverley;Thony;POLLIAT;1310
01TRE;2000220;PHARMACY NUM84;M;Gerardo;Giulio;CHALAMONT;1320
01TRE;2054873;PHARMACY NUM85;Mme;Moéa;Manouane;AMBERIEUX EN DOMBES;1330
01TRE;2055966;PHARMACY NUM86;M;Maxym;Madin;VILLARS LES DOMBES;1330
01TRE;2055971;PHARMACY NUM87;M;Mielgo;Gabrielo;VILLARS LES DOMBES;1330
01BOU;2000346;PHARMACY NUM88;Mme;Cisar;Charaf;ATTIGNAT;1340
01BOU;2263090;PHARMACY NUM89;Mme;Theiss;Markel;MONTREVEL EN BRESSE;1340
01BOU;2055531;PHARMACY NUM90;M;Gastone;Gilberta;MONTREVEL EN BRESSE;1340
01BEL;2000105;PHARMACY NUM91;M;Macha;Mattew;CULOZ;1350
69MEY;2055416;PHARMACY NUM92;M;Marsha;Tymoté;LOYETTES;1360
01MIR;2054957;PHARMACY NUM93;M;Régis;Achille;BELIGNEUX;1360
01BOU;2285402;PHARMACY NUM94;Mme;Michelina;Maudez;ST ETIENNE DU BOIS;1370
01BOU;2055924;PHARMACY NUM95;Mme;Raoul;Morane;TREFFORT CUISIAT;1370
71MAC;2054936;PHARMACY NUM96;M;Rami;Thierno;BAGE LA VILLE;1380
01TRE;2279425;PHARMACY NUM97;Mme;Maurin;Tamer;MIONNAY;1390
01TRE;2253192;PHARMACY NUM98;M;Bernardine;Romain;ST ANDRE DE CORCY;1390
01TRE;2004464;PHARMACY NUM99;M;Matiss;Agapetos;CHATILLON SUR CHALARONNE;1400
01TRE;2287902;PHARMACY NUM100;Mme;Tal;Gadiel;NEUVILLE LES DAMES;1400
01BEL;2056048;PHARMACY NUM101;M;Raoulin;Gian;SEYSSEL;1420
01NAN;2004347;PHARMACY NUM102;Mme;Gracielle;Mikelon;ST MARTIN DU FRENE;1430
01BOU;2270836;PHARMACY NUM103;Mme;Mathie;Marlaine;VIRIAT;1440
01BOU;2007023;PHARMACY NUM104;Mme;Timus;Gavina;VIRIAT;1440
01NAN;2006610;PHARMACY NUM105;M;Marcello;Carmel;PONCIN;1450
01NAN;2004840;PHARMACY NUM106;Mme;Marcos;Mélaire;MONTREAL LA CLUSE;1460
01NAN;2280823;PHARMACY NUM107;M;Mirianne;Corentin;MONTREAL LA CLUSE;1460
01BEL;2281984;PHARMACY NUM108;Mme;Guerard;Morgane;SERRIERES DE BRIORD;1470
69VFS;2055264;PHARMACY NUM109;Mme;Rayann;Mieko;FAREINS;1480
69VFS;2252906;PHARMACY NUM110;Mme;Mina;Brandy;JASSANS RIOTTIER;1480
69VFS;2000388;PHARMACY NUM111;Mme;Giani;Marietta;JASSANS RIOTTIER;1480
01TRE;2281366;PHARMACY NUM112;M;Rani;Mauryne;ARS SUR FORMANS;1480
01NAN;2000372;PHARMACY NUM113;Mme;Marta;Gaven;AMBERIEU EN BUGEY;1500
01NAN;2006584;PHARMACY NUM114;Mme;Rénier;Billal;AMBERIEU EN BUGEY;1500
01NAN;2054868;PHARMACY NUM115;M;Greg;Ritchie;AMBERIEU EN BUGEY;1500
01NAN;2283976;PHARMACY NUM116;M;Messaline;Mariska;AMBERIEU EN BUGEY;1500
01NAN;2001632;PHARMACY NUM117;Mme;Mauricio;Rédouan;AMBRONAY;1500
01BEL;2055772;PHARMACY NUM118;M;Maxima;Remus;ST DENIS EN BUGEY;1500
01BEL;2054920;PHARMACY NUM119;M;Matuta;Cébus;ARTEMARE;1510
01BEL;2279446;PHARMACY NUM120;Mme;Téophane;Thibaud;VIRIEU LE GRAND;1510
01BOU;2000194;PHARMACY NUM121;Mme;Tomas;Adene;VONNAS;1540
01GEX;2288026;PHARMACY NUM122;M;Madennig;Raoulin;COLLONGES;1550
71LOU;2000168;PHARMACY NUM123;Mme;Christobal;Maïté;ST JULIEN SUR REYSSOUZE;1560
71LOU;2281020;PHARMACY NUM124;Mme;Mélany;Maximilian;ST TRIVIER DE COURTES;1560
